Bending Stress Design,Deflection Design,Dt
5.93,9.7,310
6,9.7,308
6.07,9.71,306
6.14,9.71,304
6.21,9.71,302
6.29,9.72,300
6.36,9.72,298
6.43,9.73,296
6.51,9.73,294
6.59,9.73,292
6.67,9.74,290
6.74,9.74,288
6.83,9.75,286
6.91,9.75,284
6.99,9.76,282
7.08,9.76,280
7.16,9.77,278
7.25,9.77,276
7.34,9.78,274
7.43,9.78,272
7.52,9.79,270
7.61,9.79,268
7.71,9.8,266
7.8,9.81,264
7.9,9.81,262
8,9.82,260
8.1,9.83,258
8.2,9.83,256
8.31,9.84,254
8.41,9.85,252
8.52,9.86,250
8.63,9.86,248
8.74,9.87,246
8.85,9.88,244
8.97,9.89,242
9.08,9.9,240
9.2,9.91,238
9.32,9.92,236
9.44,9.93,2.34
9.57,9.94,232
9.69,9.95,230
9.82,9.96,228
9.95,9.97,226
10.08,9.98,224
10.21,9.99,222
10.35,10.01,220
10.49,10.02,218
10.62,10.03,216
10.77,10.05,214
10.91,10.06,212
11.05,10.08,210
11.2,10.09,208
11.35,10.11,206
11.5,10.13,204
11.66,10.15,202
11.81,10.17,200
11.97,10.19,198
12.13,10.21,196
12.29,10.23,194
12.45,10.25,192
12.62,10.27,190
12.79,10.3,188
12.96,10.32,186
13.13,10.35,184
13.3,10.37,182
13.48,10.4,180
13.66,10.43,178
13.84,10.46,176
14.02,10.5,174
14.2,10.53,172
14.39,10.57,170
14.48,10.59,169
14.57,10.6,168
14.67,10.62,167
14.76,10.64,166
14.86,10.66,165
14.96,10.69,164
15.05,10.71,163
15.15,10.73,162
15.25,10.75,161
15.34,10.78,160
15.44,10.8,159
15.54,10.82,158
15.64,10.85,157
15.74,10.87,156
15.84,10.9,155
15.94,10.93,154
16.04,10.96,153
16.14,10.98,152
16.24,11.01,151
16.34,11.04,150
16.45,11.07,149
16.55,11.11,148
16.65,11.14,147
16.76,11.17,146
16.86,11.21,145
16.96,11.24,144
17.07,11.28,143
17.18,11.31,142
17.28,11.35,141
17.39,11.39,140
17.5,11.43,139
17.6,11.48,138
17.71,11.52,137
17.82,11.56,136
17.93,11.61,135
18.04,11.66,134
18.15,11.71,133
18.26,11.76,132
18.37,11.81,131
18.49,11.86,130
18.6,11.92,129
18.72,11.97,128
18.83,12.03,127
18.95,12.09,126
19.06,12.15,125
19.18,12.22,124
19.3,12.28,123
19.42,12.35,122
19.54,12.42,121
19.66,12.5,120
19.78,12.57,119
19.91,12.65,118
20.04,12.73,117
20.16,12.82,116
20.29,12.91,115
20.42,13,114
20.55,13.09,113
20.69,13.19,112
20.82,13.29,111
20.96,13.39,110
21.1,13.5,109
21.24,13.61,108
21.39,13.73,107
21.54,13.85,106
21.69,13.98,105
21.84,14.11,104
22,14.24,103
22.16,14.38,102
22.32,14.53,101
22.49,14.68,100
22.66,14.84,99
22.83,15.01,98
23.01,15.18,97
23.2,15.36,96
23.38,15.55,95
23.58,15.75,94
23.78,15.95,93
23.99,16.17,92
24.2,16.39,91
24.42,16.62,90
24.64,16.87,89
24.88,17.12,88
25.12,17.39,87
25.37,17.67,86
25.63,17.97,85
25.9,18.28,84
26.18,18.6,83
26.47,18.94,82
26.77,19.3,81
27.09,19.67,80
27.42,20.07,79
27.76,20.48,78
28.11,20.92,77
28.49,21.38,76
28.87,21.87,75
29.28,22.38,74
29.7,22.93,73
30.15,23.5,72
30.62,24.11,71
31.11,24.75,70
31.62,25.43,69
32.16,26.16,68
32.72,26.92,67
33.32,27.74,66
33.95,28.6,65
34.61,29.53,64
35.3,30.51,63
36.04,31.56,62
36.81,32.68,61
37.63,33.88,60
38.5,35.16,59
39.42,36.53,58
40.39,38,57
41.42,39.58,56
42.51,41.28,55
43.67,43.12,54
44.91,45.09,53
46.22,47.22,52
47.62,49.53,51
49.11,52.03,50
50.7,54.74,49
52.41,57.69,48
54.23,60.9,47
56.18,64.4,46
58.27,68.23,45
60.52,72.42,44
62.93,77.02,43
65.54,82.08,42
68.35,87.66,41
71.39,93.82,40
74.67,100.65,39
78.24,108.24,38
82.11,116.7,37
86.33,126.15,36
90.93,136.74,35
95.97,148.66,34
101.49,162.12,33
107.56,177.37,32
114.25,194.72,31
