Bending Stress Design,Deflection Design,Dt
3.06,15.09,660
3.1,15.09,655
3.15,15.09,650
3.2,15.09,645
3.25,15.09,640
3.3,15.09,635
3.35,15.09,630
3.4,15.09,625
3.46,15.09,620
3.51,15.09,615
3.57,15.1,610
3.63,15.1,605
3.68,15.1,600
3.75,15.1,595
3.81,15.1,590
3.87,15.1,585
3.94,15.1,580
4,15.1,575
4.07,15.1,570
4.14,15.1,565
4.21,15.1,560
4.29,15.1,555
4.36,15.1,550
4.44,15.11,545
4.52,15.11,540
4.6,15.11,535
4.69,15.11,530
4.77,15.11,525
4.86,15.11,520
4.95,15.11,515
5.05,15.11,510
5.14,15.11,505
5.24,15.12,500
5.35,15.12,495
5.45,15.12,490
5.56,15.12,485
5.67,15.12,480
5.78,15.12,475
5.9,15.13,470
6.02,15.13,465
6.15,15.13,460
6.28,15.13,455
6.41,15.13,450
6.54,15.14,445
6.68,15.14,440
6.83,15.14,435
6.98,15.14,430
7.13,15.14,425
7.29,15.15,420
7.46,15.15,415
7.63,15.15,410
7.8,15.16,405
7.98,15.16,400
8.17,15.16,395
8.36,15.17,390
8.56,15.17,385
8.77,15.17,380
8.98,15.18,375
9.2,15.18,370
9.43,15.19,365
9.66,15.19,360
9.91,15.2,355
10.16,15.2,350
10.42,15.21,345
10.69,15.22,340
10.97,15.22,335
11.26,15.23,330
11.56,15.24,325
11.87,15.24,320
12.19,15.25,315
12.52,15.26,310
12.66,15.27,308
12.8,15.27,306
12.94,15.27,304
13.08,15.28,302
13.23,15.28,300
13.37,15.29,298
13.52,15.29,296
13.67,15.3,294
13.83,15.3,292
13.98,15.3,290
14.14,15.31,288
14.3,15.31,286
14.46,15.32,284
14.62,15.33,282
14.79,15.33,280
14.96,15.34,278
15.13,15.34,276
15.3,15.35,274
15.48,15.35,272
15.65,15.36,270
15.83,15.37,268
16.02,15.37,266
16.2,15.38,264
16.39,15.39,262
16.58,15.4,260
16.77,15.4,258
16.97,15.41,256
17.16,15.42,254
17.36,15.43,252
17.57,15.44,250
17.77,15.45,248
17.98,15.45,246
18.19,15.46,244
18.4,15.47,242
18.62,15.48,240
18.84,15.49,238
19.06,15.51,236
19.28,15.52,234
19.51,15.53,232
19.73,15.54,230
19.97,15.55,228
20.2,15.57,226
20.43,15.58,224
20.67,15.59,222
20.91,15.61,220
21.16,15.62,218
21.4,15.64,216
21.65,15.65,214
21.9,15.67,212
22.15,15.69,210
22.4,15.71,208
22.66,15.73,206
22.92,15.75,204
23.18,15.77,202
23.44,15.79,200
23.7,15.81,198
23.97,15.83,196
24.24,15.86,194
24.5,15.88,192
24.77,15.91,190
25.04,15.93,188
25.31,15.96,186
25.59,15.99,184
25.86,16.02,182
26.13,16.06,180
26.41,16.09,178
26.68,16.12,176
26.96,16.16,174
27.23,16.2,172
27.51,16.24,170
27.65,16.26,169
27.78,16.28,168
27.92,16.31,167
28.06,16.33,166
28.19,16.35,165
28.33,16.37,164
28.47,16.4,163
28.6,16.42,162
28.74,16.45,161
28.87,16.48,160
29.01,16.5,159
29.15,16.53,158
29.28,16.56,157
29.41,16.59,156
29.55,16.62,155
29.68,16.65,154
29.82,16.68,153
29.95,16.71,152
30.08,16.74,151
30.21,16.78,150
30.34,16.81,149
30.48,16.85,148
30.61,16.89,147
30.74,16.92,146
30.87,16.96,145
30.99,17,144
31.12,17.04,143
31.25,17.09,142
31.38,17.13,141
31.5,17.17,140
31.63,17.22,139
31.76,17.27,138
31.88,17.32,137
32.01,17.37,136
32.13,17.42,135
32.25,17.47,134
32.38,17.53,133
32.5,17.58,132
32.62,17.64,131
32.75,17.7,130
32.87,17.76,129
32.99,17.83,128
33.11,17.89,127
33.23,17.96,126
33.35,18.03,125
33.47,18.11,124
33.59,18.18,123
33.71,18.26,122
33.83,18.34,121
33.95,18.42,120
34.07,18.51,119
34.19,18.6,118
34.31,18.69,117
34.43,18.78,116
34.55,18.88,115
34.68,18.98,114
34.8,19.09,113
34.92,19.2,112
35.05,19.31,111
35.17,19.43,110
35.3,19.55,109
35.43,19.68,108
35.56,19.81,107
35.69,19.95,106
35.83,20.09,105
35.96,20.24,104
36.1,20.39,103
36.25,20.55,102
36.39,20.72,101
36.54,20.89,100
36.69,21.07,99
36.85,21.26,98
37.01,21.45,97
37.17,21.66,96
37.34,21.87,95
37.52,22.09,94
37.7,22.32,93
37.89,22.56,92
38.08,22.82,91
38.28,23.08,90
38.49,23.36,89
38.71,23.65,88
38.93,23.95,87
39.17,24.27,86
39.41,24.6,85
39.67,24.95,84
39.94,25.31,83
40.22,25.7,82
40.51,26.1,81
40.82,26.52,80
41.14,26.97,79
41.48,27.44,78
41.84,27.93,77
42.21,28.46,76
42.6,29.01,75
43.02,29.59,74
43.45,30.2,73
43.92,30.85,72
44.4,31.53,71
44.91,32.26,70
45.46,33.03,69
46.03,33.85,68
46.64,34.71,67
47.28,35.63,66
47.96,36.61,65
48.68,37.65,64
49.44,38.77,63
50.25,39.95,62
51.11,41.21,61
52.02,42.57,60
52.99,44.01,59
54.02,45.56,58
55.12,47.23,57
56.28,49.01,56
57.53,50.93,55
58.86,53,54
60.28,55.23,53
61.79,57.64,52
63.41,60.25,51
65.14,63.07,50
67,66.13,49
68.99,69.46,48
71.12,73.09,47
73.41,77.04,46
75.88,81.36,45
78.54,86.1,44
81.4,91.29,43
84.5,97.01,42
87.85,103.31,41
91.47,110.27,40
95.4,117.98,39
99.67,126.56,38
104.32,136.11,37
109.4,146.78,36
114.94,158.75,35
121.02,172.21,34
127.69,187.41,33
135.03,204.63,32
143.14,224.22,31
