Bending Stress Design,Deflection Design,Dt
4.4,3.46,170
4.43,3.48,169
4.46,3.5,168
4.5,3.51,167
4.54,3.53,166
4.57,3.55,165
4.61,3.57,164
4.64,3.59,163
4.68,3.61,162
4.72,3.63,161
4.76,3.65,160
4.8,3.67,159
4.84,3.69,158
4.88,3.71,157
4.92,3.74,156
4.96,3.76,155
5,3.78,154
5.04,3.81,153
5.08,3.83,152
5.13,3.86,151
5.17,3.89,150
5.21,3.91,149
5.26,3.94,148
5.3,3.97,147
5.35,4,146
5.4,4.03,145
5.45,4.06,144
5.49,4.09,143
5.54,4.13,142
5.59,4.16,141
5.65,4.2,140
5.7,4.23,139
5.75,4.27,138
5.8,4.31,137
5.86,4.35,136
5.91,4.39,135
5.97,4.43,134
6.03,4.47,133
6.09,4.52,132
6.15,4.56,131
6.21,4.61,130
6.27,4.66,129
6.33,4.71,128
6.4,4.76,127
6.46,4.82,126
6.53,4.87,125
6.6,4.93,124
6.67,4.99,123
6.74,5.05,122
6.82,5.11,121
6.89,5.18,120
6.97,5.25,119
7.05,5.32,118
7.13,5.39,117
7.21,5.46,116
7.29,5.54,115
7.38,5.62,114
7.47,5.71,113
7.56,5.79,112
7.65,5.88,111
7.75,5.97,110
7.85,6.07,109
7.95,6.17,108
8.05,6.27,107
8.16,6.38,106
8.27,6.49,105
8.38,6.61,104
8.49,6.73,103
8.61,6.86,102
8.74,6.99,101
8.86,7.12,100
8.99,7.26,99
9.13,7.41,98
9.27,7.57,97
9.41,7.73,96
9.56,7.89,95
9.71,8.07,94
9.87,8.25,93
10.03,8.44,92
10.2,8.64,91
10.37,8.85,90
10.55,9.06,89
10.74,9.29,88
10.93,9.53,87
11.13,9.78,86
11.34,10.04,85
11.55,10.31,84
11.78,10.6,83
12.01,10.9,82
12.25,11.22,81
12.5,11.56,80
12.76,11.91,79
13.03,12.28,78
13.31,12.67,77
13.6,13.08,76
13.91,13.51,75
14.23,13.97,74
14.56,14.45,73
14.91,14.96,72
15.27,15.5,71
15.65,16.07,70
16.05,16.68,69
16.46,17.32,68
16.89,18,67
17.35,18.73,66
17.83,19.5,65
18.33,20.32,64
18.85,21.19,63
19.4,22.12,62
19.98,23.12,61
20.59,24.18,60
21.23,25.32,59
21.91,26.54,58
22.63,27.85,57
23.38,29.26,56
24.18,30.77,55
25.02,32.39,54
25.92,34.15,53
26.86,36.05,52
27.87,38.1,51
28.94,40.32,50
30.07,42.73,49
31.28,45.35,48
32.57,48.2,47
33.95,51.31,46
35.42,54.72,45
37,58.44,44
38.69,62.53,43
40.5,67.03,42
42.46,71.99,41
44.56,77.47,40
46.84,83.54,39
49.3,90.28,38
51.96,97.8,37
54.86,106.2,36
58.02,115.62,35
61.46,126.21,34
65.23,138.18,33
69.36,151.73,32
73.92,167.15,31
